category,model_key,n_tasks,share_beats_floor,share_beats_ridge,mean_delta_vs_floor,mean_delta_vs_ridge,median_delta_vs_ridge,mean_rank_among_llms
classification,claude-haiku-4.5,5,0.0,0.0,-0.09615790497229038,-0.07952622464725842,-0.06528726396143036,7.8
classification,claude-opus-4.8,5,0.2,0.2,-0.010781363940637733,0.0058503163843942165,-0.016686182669789384,3.2
classification,claude-sonnet-5,5,0.0,0.2,-0.024474330457045147,-0.007842650132013195,-0.013319672131147597,3.6
classification,deepseek-v4-pro,5,0.2,0.2,-0.054063582545909775,-0.03743190222087782,-0.046545667447306927,8.4
classification,gemini-3.1-flash-lite,5,0.0,0.2,-0.05070108743546546,-0.03406940711043351,-0.05705102450783439,7.2
classification,gemini-3.1-pro,3,0.0,0.0,-0.04973869239790385,-0.05196227299596412,-0.0444964871194381,10.0
classification,gemini-3.7-flash,5,0.4,0.4,-0.017812553426752344,-0.0011808731017203921,-0.007199117979575176,4.6
classification,gpt-5.4-nano,5,0.0,0.0,-0.07031372173738681,-0.053682041412354865,-0.05020491803278704,9.2
classification,gpt-5.6-luna,5,0.0,0.2,-0.05393991676554673,-0.03730823644051477,-0.04499799116110881,7.2
classification,grok-4.3,3,0.0,0.0,-0.05052980513576577,-0.05275338573382604,-0.06335763293310459,8.0
classification,llama-3.3-70b,5,0.0,0.0,-0.0529503330768768,-0.03631865275184485,-0.028844352875070256,6.8
classification,llama-4-maverick,5,0.0,0.2,-0.09117400637673949,-0.07454232605170755,-0.028981264637002457,7.4
classification,nova-pro,5,0.0,0.2,-0.07386492562473876,-0.05723324529970682,-0.044596223382884714,8.6
classification,pixtral-large,5,0.0,0.2,-0.06672761354132961,-0.05009593321629766,-0.0867818400964242,9.4
longitudinal_forecasting,claude-haiku-4.5,4,0.75,0.25,-0.12822157641374476,-0.33027129075955275,-0.07732468253547525,8.25
longitudinal_forecasting,claude-opus-4.8,4,0.75,0.25,-0.05636328009389949,-0.25841299443970744,-0.08405327438119806,4.75
longitudinal_forecasting,claude-sonnet-5,4,0.75,0.25,-0.056900662574998595,-0.2589503769208066,-0.05884837730449061,5.25
longitudinal_forecasting,deepseek-v4-pro,4,0.75,0.0,-0.07948138978971911,-0.28153110413552707,-0.07937225024996844,9.0
longitudinal_forecasting,gemini-3.1-flash-lite,4,0.75,0.25,-0.06341745738680747,-0.26546717173261547,-0.05755623095366208,6.0
longitudinal_forecasting,gemini-3.7-flash,4,0.75,0.25,-0.031218999675657805,-0.23326871402146582,-0.03616221284219939,2.5
longitudinal_forecasting,gpt-5.4-nano,4,0.75,0.25,-0.04512654612893632,-0.24717626047474428,-0.052545115125936154,3.25
longitudinal_forecasting,gpt-5.6-luna,4,0.75,0.25,-0.060052193345485505,-0.2621019076912935,-0.05696135503602523,6.0
longitudinal_forecasting,llama-3.3-70b,4,0.75,0.0,-0.13053292703704206,-0.33258264138285004,-0.0918200979612343,10.25
longitudinal_forecasting,llama-4-maverick,4,0.75,0.25,-0.19493549352762704,-0.39698520787343505,-0.09111988953321215,10.0
longitudinal_forecasting,nova-pro,4,0.75,0.0,-0.06291965909898788,-0.2649693734447959,-0.07928067484558235,7.25
longitudinal_forecasting,pixtral-large,4,0.75,0.25,-0.05203414576868903,-0.254083860114497,-0.05602326040297065,5.5
ordering,claude-haiku-4.5,6,0.0,0.0,-0.08204028825960803,-0.091703190743338,-0.0879567944522362,8.583333333333334
ordering,claude-opus-4.8,6,0.3333333333333333,0.16666666666666666,-0.01814316695978685,-0.027806069443516823,-0.02657297023531241,4.5
ordering,claude-sonnet-5,6,0.3333333333333333,0.16666666666666666,-0.030030142218957095,-0.039693044702687065,-0.043335086489013575,5.833333333333333
ordering,deepseek-v4-pro,6,0.0,0.0,-0.09176652896505406,-0.10142943144878404,-0.08670634920634923,10.333333333333334
ordering,gemini-3.1-flash-lite,6,0.0,0.0,-0.04149039458109116,-0.051153297064821135,-0.04513888888888895,5.166666666666667
ordering,gemini-3.1-pro,6,0.3333333333333333,0.16666666666666666,-0.01708246139347121,-0.026745363877201184,-0.010416666666666685,4.25
ordering,gemini-3.7-flash,6,0.3333333333333333,0.16666666666666666,-0.0008688708001349984,-0.010531773283864973,-0.006998987065606976,2.1666666666666665
ordering,gpt-5.4-nano,6,0.0,0.0,-0.10193257585876798,-0.11159547834249796,-0.11393849206349205,11.083333333333334
ordering,gpt-5.6-luna,6,0.3333333333333333,0.16666666666666666,-0.011290090681745671,-0.020952993165475647,-0.017361111111111105,4.333333333333333
ordering,grok-4.3,6,0.0,0.0,-0.060038346802021414,-0.06970124928575139,-0.06319444444444444,7.666666666666667
ordering,llama-3.3-70b,6,0.0,0.0,-0.11664462900284976,-0.12630753148657972,-0.1175989345509893,11.0
ordering,llama-4-maverick,6,0.0,0.0,-0.09536262494712704,-0.10502552743085702,-0.112202380952381,9.75
ordering,nova-pro,6,0.0,0.0,-0.08075617129351352,-0.0904190737772435,-0.09444444444444444,9.0
ordering,pixtral-large,6,0.0,0.0,-0.12453142826446632,-0.1341943307481963,-0.14656674134684064,11.333333333333334
phenotype_recovery,claude-haiku-4.5,25,0.08,0.04,-7.914189928059772,-7.952784281460501,-0.3283165111257419,6.92
phenotype_recovery,claude-opus-4.8,25,0.2,0.12,-7.661089864664766,-7.699684218065495,-0.1618016429626172,5.0
phenotype_recovery,claude-sonnet-5,14,0.14285714285714285,0.07142857142857142,-0.17691149892023997,-0.21181125179229707,-0.12854442678875583,4.214285714285714
phenotype_recovery,deepseek-v4-pro,14,0.0,0.0,-0.537492215368626,-0.5723919682406832,-0.2759373088283418,7.642857142857143
phenotype_recovery,gemini-3.1-flash-lite,25,0.04,0.04,-8.030473307621339,-8.06906766102207,-0.2260657867218406,6.28
phenotype_recovery,gemini-3.1-pro,13,0.15384615384615385,0.0,-14.860859743432506,-14.909498248812442,-0.2408410125109934,4.461538461538462
phenotype_recovery,gemini-3.7-flash,25,0.16,0.08,-10.558517960587587,-10.597112313988319,-0.16556131594555468,3.64
phenotype_recovery,gpt-5.4-nano,25,0.0,0.0,-1630.6258955940916,-1630.6644899474923,-0.4724085592723366,9.56
phenotype_recovery,gpt-5.6-luna,25,0.0,0.0,-7.833408484577379,-7.872002837978109,-0.2815025639776368,6.4
phenotype_recovery,grok-4.3,13,0.0,0.0,-14.725948167738308,-14.774586673118243,-0.2829461833385959,5.846153846153846
phenotype_recovery,llama-3.3-70b,25,0.08,0.0,-8.470583664219781,-8.50917801762051,-0.5635428429561429,8.56
phenotype_recovery,llama-4-maverick,25,0.04,0.04,-7.8028291729721335,-7.841423526372863,-0.2518616548819903,6.64
phenotype_recovery,nova-pro,25,0.04,0.0,-7.7921767058434455,-7.830771059244176,-0.32475465741486237,6.44
phenotype_recovery,pixtral-large,25,0.04,0.0,-8.118226195051728,-8.156820548452458,-0.3030836917348228,8.72
