model_key,win_rate,ci_low,ci_high,n_tasks
gemini-3.7-flash,0.79004329004329,0.7105206686243506,0.8630434782608696,40
claude-sonnet-5,0.6950146627565983,0.6132877005523679,0.7701532254692921,29
claude-opus-4.8,0.6818181818181818,0.5893498817966903,0.7663935076325905,40
gemini-3.1-pro,0.6534090909090909,0.5233994814519346,0.7935201589733765,22
gpt-5.6-luna,0.5541125541125541,0.47342059980334317,0.6319289870885615,40
gemini-3.1-flash-lite,0.5497835497835498,0.4720908221976498,0.621821120689655,40
grok-4.3,0.5303030303030303,0.421875,0.6355183615328492,22
nova-pro,0.4653679653679654,0.37553648068669526,0.5581896551724138,40
claude-haiku-4.5,0.4448051948051948,0.35041666666666665,0.5404068946694773,40
llama-4-maverick,0.43398268398268397,0.3491323088455772,0.5257594700503825,40
deepseek-v4-pro,0.36070381231671556,0.27109599365614595,0.45301633500293303,29
llama-3.3-70b,0.3181818181818182,0.22989887716450216,0.4120237557412845,40
pixtral-large,0.3181818181818182,0.23290229885057473,0.4140985706452894,40
gpt-5.4-nano,0.2976190476190476,0.2092186425877413,0.391304347826087,40
