model_key,win_rate,ci_low,ci_high,n_tasks,n_common_tasks
gemini-3.7-flash,0.8251748251748252,0.6713286713286714,0.9440559440559441,11,11
claude-opus-4.8,0.7342657342657343,0.6363636363636364,0.8251748251748252,11,11
claude-sonnet-5,0.7272727272727273,0.6153846153846154,0.8391608391608392,11,11
gemini-3.1-pro,0.6328671328671329,0.44405594405594406,0.8111888111888111,11,11
gpt-5.6-luna,0.6223776223776224,0.46853146853146854,0.7692307692307693,11,11
gemini-3.1-flash-lite,0.5664335664335665,0.46153846153846156,0.6853146853146853,11,11
claude-haiku-4.5,0.47202797202797203,0.3180944055944056,0.6363636363636364,11,11
nova-pro,0.46853146853146854,0.36363636363636365,0.5734265734265734,11,11
grok-4.3,0.46153846153846156,0.32167832167832167,0.6013986013986014,11,11
llama-4-maverick,0.3951048951048951,0.2517482517482518,0.549038461538461,11,11
llama-3.3-70b,0.32867132867132864,0.15384615384615385,0.5244755244755245,11,11
deepseek-v4-pro,0.3006993006993007,0.15384615384615385,0.46153846153846156,11,11
pixtral-large,0.25874125874125875,0.055944055944055944,0.4825174825174825,11,11
gpt-5.4-nano,0.2062937062937063,0.08041958041958042,0.35664335664335667,11,11
