comparison_id,task,predictor,method,full_model_r2,demographics_ridge_r2,delta_r2,rank_in_cell,split,test_n
cell-001,absolute_basophil_count,hpp_curated_panel,Ridge,0.04631190958282527,0.010772082765847735,0.03553982681697754,1.0,test,438
cell-001,absolute_basophil_count,hpp_curated_panel,GBDT,0.020887110392173502,0.010772082765847735,0.010115027626325768,5.0,test,438
cell-001,absolute_basophil_count,hpp_curated_panel,RealMLP,0.01888824274576073,0.010772082765847735,0.008116159979912996,6.0,test,438
cell-001,absolute_basophil_count,hpp_curated_panel,TabSwift,0.026752647483095582,0.010772082765847735,0.015980564717247847,4.0,test,438
cell-001,absolute_basophil_count,hpp_curated_panel,TabICL,0.03715959654959189,0.010772082765847735,0.026387513783744154,3.0,test,438
cell-001,absolute_basophil_count,hpp_curated_panel,TabDPT,0.04062301391871326,0.010772082765847735,0.029850931152865523,2.0,test,438
cell-002,absolute_basophil_count,hpp_curated_panel,Ridge,0.019282030317044008,0.009221545742778003,0.010060484574266004,4.0,test,687
cell-002,absolute_basophil_count,hpp_curated_panel,GBDT,0.01894918936119805,0.009221545742778003,0.009727643618420045,5.0,test,687
cell-002,absolute_basophil_count,hpp_curated_panel,RealMLP,0.022966396840463865,0.009221545742778003,0.013744851097685862,3.0,test,687
cell-002,absolute_basophil_count,hpp_curated_panel,TabSwift,0.012431261570224672,0.009221545742778003,0.0032097158274466686,6.0,test,687
cell-002,absolute_basophil_count,hpp_curated_panel,TabICL,0.025715920507309642,0.009221545742778003,0.01649437476453164,1.0,test,687
cell-002,absolute_basophil_count,hpp_curated_panel,TabDPT,0.022967699429284893,0.009221545742778003,0.01374615368650689,2.0,test,687
cell-003,absolute_basophil_count,hpp_curated_panel,Ridge,0.01899875093101122,0.006427794374782803,0.012570956556228419,2.0,test,696
cell-003,absolute_basophil_count,hpp_curated_panel,GBDT,0.011551764396968478,0.006427794374782803,0.005123970022185675,5.0,test,696
cell-003,absolute_basophil_count,hpp_curated_panel,RealMLP,0.009548110229478546,0.006427794374782803,0.0031203158546957432,6.0,test,696
cell-003,absolute_basophil_count,hpp_curated_panel,TabSwift,0.019818483415217192,0.006427794374782803,0.01339068904043439,1.0,test,696
cell-003,absolute_basophil_count,hpp_curated_panel,TabICL,0.018333390669868832,0.006427794374782803,0.01190559629508603,3.0,test,696
cell-003,absolute_basophil_count,hpp_curated_panel,TabDPT,0.012794905278486701,0.006427794374782803,0.006367110903703899,4.0,test,696
cell-004,absolute_basophil_count,hpp_curated_panel,Ridge,0.005699678132673691,0.0013487316764131396,0.0043509464562605515,1.0,test,749
cell-004,absolute_basophil_count,hpp_curated_panel,GBDT,-0.00033737756449347955,0.0013487316764131396,-0.0016861092409066192,4.0,test,749
cell-004,absolute_basophil_count,hpp_curated_panel,RealMLP,0.0016986840188830676,0.0013487316764131396,0.000349952342469928,2.0,test,749
cell-004,absolute_basophil_count,hpp_curated_panel,TabSwift,0.0007361060755950444,0.0013487316764131396,-0.0006126256008180953,3.0,test,749
cell-004,absolute_basophil_count,hpp_curated_panel,TabICL,-0.0020278899672765416,0.0013487316764131396,-0.003376621643689681,6.0,test,749
cell-004,absolute_basophil_count,hpp_curated_panel,TabDPT,-0.000833391098661318,0.0013487316764131396,-0.0021821227750744576,5.0,test,749
cell-005,absolute_eosinophil_count,hpp_curated_panel,Ridge,0.0048284726676650624,0.008200484809507635,-0.003372012141842573,3.0,test,438
cell-005,absolute_eosinophil_count,hpp_curated_panel,GBDT,-0.00410929004646432,0.008200484809507635,-0.012309774855971956,6.0,test,438
cell-005,absolute_eosinophil_count,hpp_curated_panel,RealMLP,0.002100498442799137,0.008200484809507635,-0.006099986366708499,4.0,test,438
cell-005,absolute_eosinophil_count,hpp_curated_panel,TabSwift,-0.0018267917575569559,0.008200484809507635,-0.010027276567064591,5.0,test,438
cell-005,absolute_eosinophil_count,hpp_curated_panel,TabICL,0.01078277759846813,0.008200484809507635,0.002582292788960494,2.0,test,438
cell-005,absolute_eosinophil_count,hpp_curated_panel,TabDPT,0.012782476211357086,0.008200484809507635,0.00458199140184945,1.0,test,438
cell-006,absolute_eosinophil_count,hpp_curated_panel,Ridge,0.010266157586021785,0.00837822575996272,0.0018879318260590638,2.0,test,687
cell-006,absolute_eosinophil_count,hpp_curated_panel,GBDT,0.009347031516048765,0.00837822575996272,0.0009688057560860441,5.0,test,687
cell-006,absolute_eosinophil_count,hpp_curated_panel,RealMLP,0.012261806754290117,0.00837822575996272,0.003883580994327396,1.0,test,687
cell-006,absolute_eosinophil_count,hpp_curated_panel,TabSwift,-0.0008245107826989617,0.00837822575996272,-0.009202736542661683,6.0,test,687
cell-006,absolute_eosinophil_count,hpp_curated_panel,TabICL,0.009657105216866801,0.00837822575996272,0.0012788794569040807,4.0,test,687
cell-006,absolute_eosinophil_count,hpp_curated_panel,TabDPT,0.010048775637235718,0.00837822575996272,0.0016705498772729976,3.0,test,687
cell-007,absolute_eosinophil_count,hpp_curated_panel,Ridge,-0.0008085291503976411,0.009945140421303011,-0.010753669571700653,4.0,test,696
